INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AA17111', 'Переговорная 26-24 (РСВ)', 'A1', 'Не найден', 'Суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17561', 'Переговорная 26-22 (1 ряд)', 'A1', 'Доступен', 'Розыск счетов', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17562', 'Приоритет для архивариуса', 'A1', 'Не найден', 'ОТП', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17563', 'Переговорная 26-24 (право)', 'A1', 'Не найден', 'Розыск счетов', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17564', 'Переговорная 26-24 (РСВ)', 'A1', 'Не найден', 'Толстые суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17565', 'Сверка (Правая)', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17566', 'Сканировщики', 'A1', 'Доступен', 'ТКС Агенты', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17567', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'ТКС Агенты', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17568', 'Дежурные', 'A1', 'Отправлен в архив', 'Розыск счетов', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17569', 'КП Феникс', 'A1', 'Доступен', 'ФССП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17570', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Доступен', 'КАСКО', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AB17571', 'Сверка (Правая)', 'A1', 'Изъят', 'Русфинанс банк', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17111', 'Сверка (Контроль качества)', 'A1', 'Не найден', 'ТКС Агенты', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17112', 'Переговорная 26-22 (3 ряд)', 'A1', 'Изъят', 'Клиентское письмо', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17113', 'Поточные', 'A1', 'Отправлен в архив', 'Клиентское письмо', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17114', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Доступен', 'Неколлекшн', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17115', 'Сверка (Левая)', 'A1', 'Не найден', 'Толстые суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17116', 'Переговорная 26-24 (РСВ)', 'A1', 'Изъят', 'Розыск счетов', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17231', 'Сверка (Левая)', 'A1', 'Не найден', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17232', 'Приоритет для архивариуса', 'A1', 'Отправлен в архив', 'ОТП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17233', 'Приоритет для архивариуса', 'A1', 'Изъят', 'Клиентское письмо', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17234', 'Переговорная 26-22 (2 ряд)', 'A1', 'Изъят', 'УО_почта', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17235', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17236', 'Переговорная 26-23 (утиль)', 'A1', 'Отправлен в архив', 'Суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17237', 'Открытые', 'A1', 'Доступен', 'УО_почта', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17238', 'Переговорная 26-22 (4 ряд)', 'A1', 'Изъят', 'ТРАСТ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17239', 'Дежурные', 'A1', 'Изъят', 'Суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17561', 'Дежурные', 'A1', 'Отправлен в архив', 'Розыск с возвратом', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17562', 'Сканировщики', 'A1', 'Не найден', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17563', 'Приоритет для архивариуса', 'A1', 'Не найден', 'Феникс клиентские', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17564', 'КП Феникс', 'A1', 'Не найден', 'Связной', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17565', 'Переговорная 26-24 (РСВ)', 'A1', 'Доступен', 'Суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17566', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'Связной', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17567', 'Сверка (Правая)', 'A1', 'Не найден', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17568', 'Архивариус', 'A1', 'Не найден', 'Розыск с возвратом', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17569', 'Выход (отправка)', 'A1', 'Изъят', 'Суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17570', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Не найден', 'Суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AC17571', 'Дежурные', 'A1', 'Отправлен в архив', 'Связной', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17111', 'Сверка (Контроль качества)', 'A1', 'Изъят', 'ТРАСТ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17112', 'Переговорная 26-23 (утиль)', 'A1', 'Доступен', 'Феникс клиентские', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17113', 'Выход (отправка)', 'A1', 'Отправлен в архив', 'ТРАСТ', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17114', 'Приоритет для архивариуса', 'A1', 'Доступен', 'Розыск счетов', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17115', 'Открытые', 'A1', 'Доступен', 'Связной', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17116', 'Сканировщики', 'A1', 'Изъят', 'ТКС Агенты', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17231', 'Переговорная 26-23 (утиль)', 'A1', 'Отправлен в архив', 'Связной', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17232', 'Приоритет для архивариуса', 'A1', 'Не найден', 'Русфинанс банк', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17233', 'Переговорная 26-23 (утиль)', 'A1', 'Не найден', 'Суды', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17234', 'Сканировщики', 'A1', 'Доступен', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17235', 'Архивариус', 'A1', 'Не найден', 'ФССП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17236', 'Переговорная 26-22 (3 ряд)', 'A1', 'Не найден', 'Русфинанс банк', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17237', 'Сверка (Контроль качества)', 'A1', 'Изъят', 'ТКС Агенты', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17238', 'Архивариус', 'A1', 'Доступен', 'Розыск с возвратом', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17239', 'Переговорная 26-22 (4 ряд)', 'A1', 'Не найден', 'Связной', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17561', 'Сверка (Левая)', 'A1', 'Доступен', 'Неколлекшн', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17562', 'Неколлекшн архивариус', 'A1', 'Не найден', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17563', 'Сверка (Правая)', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17564', 'Сверка (Контроль качества)', 'A1', 'Изъят', 'Розыск с возвратом', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17565', 'Переговорная 26-24 (право)', 'A1', 'Доступен', 'Феникс клиентские', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17566', 'Сверка (Левая)', 'A1', 'Изъят', 'ОТП', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17567', 'Сверка (Правая)', 'A1', 'Не найден', 'АТБ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17568', 'Поточные', 'A1', 'Изъят', 'Толстые суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17569', 'Сканировщики', 'A1', 'Изъят', 'Феникс клиентские', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17570', 'Выход (отправка)', 'A1', 'Отправлен в архив', 'КАСКО', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AD17571', 'Сверка (Левая)', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17111', 'Переговорная 26-22 (4 ряд)', 'A1', 'Изъят', 'Связной', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17112', 'Переговорная 26-24 (право)', 'A1', 'Доступен', 'Розыск с возвратом', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17113', 'Стеллаж', 'A1', 'Изъят', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17114', 'Приоритет для архивариуса', 'A1', 'Не найден', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17115', 'Сверка (Контроль качества)', 'A1', 'Отправлен в архив', 'АТБ', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17116', 'Архивариус', 'A1', 'Не найден', 'Клиентское письмо', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17231', 'Сверка (Левая)', 'A1', 'Доступен', 'Русфинанс банк', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17232', 'Переговорная 26-22 (1 ряд)', 'A1', 'Изъят', 'ФССП', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17233', 'Выход (отправка)', 'A1', 'Отправлен в архив', 'АТБ', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17234', 'Дежурные', 'A1', 'Доступен', 'КАСКО', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17235', 'Сверка (Контроль качества)', 'A1', 'Отправлен в архив', 'Феникс клиентские', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17236', 'Переговорная 26-24 (право)', 'A1', 'Отправлен в архив', 'ОТП', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17237', 'Выход (отправка)', 'A1', 'Доступен', 'Русфинанс банк', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17238', 'Неколлекшн архивариус', 'A1', 'Отправлен в архив', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17239', 'Сверка (Левая)', 'A1', 'Отправлен в архив', 'Толстые суды', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17561', 'Переговорная 26-22 (3 ряд)', 'A1', 'Изъят', 'Клиентское письмо', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17562', 'Архивариус', 'A1', 'Не найден', 'ТРАСТ', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17563', 'Переговорная 26-24 (право)', 'A1', 'Изъят', 'Розыск с возвратом', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17564', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Изъят', 'УО_почта', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17565', 'Переговорная 26-23 (утиль)', 'A1', 'Изъят', 'Русфинанс банк', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17566', 'Переговорная 26-23 (ОНЗ)', 'A1', 'Изъят', 'ФССП', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17567', 'Переговорная 26-24 (право)', 'A1', 'Изъят', 'КАСКО', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17568', 'Переговорная 26-22 (3 ряд)', 'A1', 'Не найден', 'Феникс клиентские', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17569', 'Открытые', 'A1', 'Не найден', 'КАСКО', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17570', 'Сверка (Контроль качества)', 'A1', 'Изъят', 'ТКС Агенты', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AE17571', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Не найден', 'Связной', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17111', 'Переговорная 26-24 (право)', 'A1', 'Не найден', 'Толстые суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17112', 'Переговорная 26-22 (1 ряд)', 'A1', 'Не найден', 'Русфинанс банк', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17113', 'Открытые', 'A1', 'Отправлен в архив', 'Неколлекшн', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17114', 'Дежурные', 'A1', 'Доступен', 'Русфинанс банк', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17115', 'Сверка (Левая)', 'A1', 'Изъят', 'УО_почта', 'Короб где-то у архивариуса но он в очередной раз забыл это отметить')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17116', 'Переговорная 26-23 (утиль)', 'A1', 'Изъят', 'ОТП', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17231', 'Дежурные', 'A1', 'Доступен', 'Розыск счетов', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17232', 'Переговорная 26-22 (2 ряд)', 'A1', 'Доступен', 'Феникс клиентские', 'Не забирать короб!')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17233', 'Поточные', 'A1', 'Изъят', 'ТКС Агенты', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17234', 'Переговорная 26-24 (неколлекшн)', 'A1', 'Доступен', 'Русфинанс банк', 'Короб уехал нахуй')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17235', 'Сверка (Контроль качества)', 'A1', 'Отправлен в архив', 'Суды', 'Где блять этот короб ебучий?')
INSERT INTO Boxes(number, initialLocation, currentPlace, status, type, note) VALUES('AF17236', 'Переговорная 26-23 (утиль)', 'A1', 'Изъят', 'Розыск с возвратом', 'Где блять этот короб ебучий?')
